name,country,launch_date,launch_mass,expected_lifetime,apogee_height,perigee_height
Globalstar M088,USA,2011-07-13,700.0,15.0,1415.0,1412.0
Globalstar M089,USA,2011-07-13,700.0,15.0,1415.0,1413.0
Globalstar M090,USA,2011-12-28,700.0,15.0,1414.0,1413.0
Globalstar M091,USA,2011-07-13,700.0,15.0,1415.0,1413.0
Globalstar M092,USA,2011-12-28,700.0,15.0,1414.0,1413.0
Globalstar M093,USA,2013-02-06,700.0,15.0,1415.0,1412.0
Globalstar M094,USA,2013-02-06,700.0,15.0,1414.0,1413.0
Globalstar M095,USA,2013-02-06,700.0,15.0,1414.0,1413.0
Globalstar M096,USA,2013-02-06,700.0,15.0,1414.0,1413.0
Globalstar M097,USA,2013-02-06,700.0,15.0,1391.0,1370.0
Cosmos 2559,Russia,2022-10-10,1415.0,7.0,19149.0,19110.0
Cosmos 2471,Russia,2011-02-26,935.0,10.0,19146.0,19116.0
Cosmos 2501,Russia,2014-12-01,935.0,10.0,19178.0,19103.0
Cosmos 2547,Russia,2020-10-25,1415.0,7.0,19146.0,19103.0
Cosmos 2557,Russia,2022-07-07,974.0,10.0,19156.0,19103.0
Cosmos 2425,Russia,2006-12-25,1480.0,7.0,19130.0,19130.0
Cosmos 2426,Russia,2006-12-25,1480.0,7.0,19130.0,19130.0
Cosmos 2432,Russia,2007-10-26,1480.0,7.0,19171.0,19094.0
Cosmos 2433,Russia,2007-10-26,1480.0,7.0,19133.0,19124.0
Cosmos 2434,Russia,2007-12-25,1480.0,7.0,19378.0,19142.0
Cosmos 2436,Russia,2007-12-25,1480.0,7.0,19365.0,19147.0
Cosmos 2456,Russia,2009-12-14,1415.0,7.0,19419.0,19132.0
Cosmos 2459,Russia,2010-03-01,1415.0,7.0,19146.0,19119.0
Cosmos 2460,Russia,2010-03-01,1415.0,7.0,19133.0,19131.0
Cosmos 2457,Russia,2009-12-14,1415.0,7.0,19130.0,18864.0
Cosmos 2461,Russia,2010-03-01,1415.0,7.0,19135.0,19128.0
Cosmos 2464,Russia,2010-09-02,1415.0,7.0,19123.0,18909.0
Cosmos 2476,Russia,2011-11-04,1415.0,7.0,19204.0,19142.0
Cosmos 2477,Russia,2011-11-04,1415.0,7.0,19199.0,19150.0
Cosmos 2475,Russia,2011-11-04,1415.0,7.0,19212.0,19139.0
